,item_id,item_name,item_desc,item_icon,item_plaintext,item_totalgold,item_basegold
0,1001,장화,<mainText><stats>이동 속도 <attention>25</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1001.png,이동 속도가 약간 증가합니다.,300,300
1,1004,요정의 부적,<mainText><stats>기본 마나 재생 <attention>50%</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1004.png,마나 재생량이 약간 증가합니다.,250,250
2,1006,원기 회복의 구슬,<mainText><stats>기본 체력 재생 <attention>100%</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1006.png,체력 재생량이 약간 증가합니다.,300,300
3,1011,거인의 허리띠,<mainText><stats>체력 <attention>350</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1011.png,체력이 대폭 증가합니다.,900,500
4,1018,민첩성의 망토,<mainText><stats>치명타 확률 <attention>15%</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1018.png,치명타 확률이 증가합니다.,600,600
5,1026,방출의 마법봉,<mainText><stats>주문력 <attention>40</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1026.png,주문력이 상당히 상승합니다.,850,850
6,1027,사파이어 수정,<mainText><stats>마나 <attention>250</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1027.png,마나가 증가합니다.,350,350
7,1028,루비 수정,<mainText><stats>체력 <attention>150</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1028.png,체력이 증가합니다.,400,400
8,1029,천 갑옷,<mainText><stats>방어력 <attention>15</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1029.png,방어력이 약간 증가합니다.,300,300
9,1031,쇠사슬 조끼,<mainText><stats>방어력 <attention>40</attention></stats></mainText><br>,http://ddragon.leagueoflegends.com/cdn/13.8.1/img/item/1031.png,방어력이 대폭 증가합니다.,800,500
