"summonerId","summonerName","leaguePoints","wins","losses","veteran","inactive","freshBlood","hotStreak"
__Fc2PxmpdvE6ZkTDjMQ4f19rP7hTgMXAPdHTxlnaxytl4E,태리곰곰,568,307,288,0,0,0,0
_5TjO8BGYJ0zNQRmYEV55ESO4gURe-h7lvFaGtvS0JMEQEA,NGU JH,534,202,183,0,0,1,1
_95eMQDWx1pa-2mDQ_Z68sYDTyK-InPb_tWrMfVblIlr0Hg,Ying min,524,76,50,0,0,1,1
_jnT6gV2gPsAH5aPrUxpxBTLBRgSEyVq-xeKnpv4I7EJ4g,T1 Roach,560,173,152,0,0,1,0
_LFd4Qq2cuTp63EgCvnY4iA1JyOFtlX-KmyNSqrqvGIle2AJ8uHXQgZUGg,Find Team,671,296,265,0,0,0,0
_OVbiixAmk5V6SsxRXDobopfvrsLZWHAQi4Y29M1T8-FPfc,브레인저그,513,103,79,0,0,1,0
_U-0yFl4EuNtB3_9j1jHVe3x5hyZGx0TB97ilhXIQpZkorQjANBaUYxKfA,Vazzrock,621,278,246,0,0,0,0
_wTVYQg3k8ZF72eorQgJ8fBlTjvz94r6acd5BQccY0HB5Sk,중졸히키아싸씹덕,575,260,246,0,0,1,0
_WUCQR40BleUHdC2Rp0VKF1wfH3euZX5h0O5X7VajIKUVyupfajecgPxHQ,"404mobsharenfan1",681,285,242,0,0,1,0
_x8yM-s-tK7dJW8ovW6fGbEJCvhe0O1G4YByEWFF7R8Th4nZH56G1XsSRA,sry adc,520,204,184,0,0,1,0
-9Lh5lci9wRLFxYyzMdHm2AD-0WjnZ77n7gsLcLVLy71n88,재능 보다 노력,710,255,216,1,0,0,0
-Eu48meEIlF0QmUBBF21L-8eF4IL3erB-evF2wiDFSld3g,다원앙,541,119,93,0,0,1,1
-Ok9GCQo2qAQqL99LlMLwNtWtzRtRZBm-Hn0w66ChL5i7L0hcnag0XJ6WA,oqwwwlll,552,163,142,0,0,1,1
-PRcH8A48jRGUu7SLfgAoVDrgUYMMSjyHBNsr4vTsEYbfyQ,BRO Frim,664,333,305,0,0,1,0
-sUe-AhKCj1N3GPHgSWZf4LGE7HHKhTybIquYIbkA4-UecE,김연지 03,841,257,221,0,0,0,0
-V4IUgPQSCRXUcUvycSteMmiTt8fgWkZBQD3JUwzXt87_q6a,loveqiqi,626,245,206,0,0,1,0
-v8CRpdjv6vozJdt8-IOHDbPvwLJFbXKO_wO7NGbEtn3IjM,Hsurc3,592,424,387,0,0,1,0
-zQw_BVFXrNZMKwWqOlO-5CVHsKfJ9R4M1qxh5hiB1u5ekkFswDr3X_2qQ,크롱1크롱2크롱3,544,174,142,0,0,1,0
"0-mDBFI_3kLdnbk7WQT77OZq07n-Ps1O8cN6NdYFSPAuRXxSTn76jJZ0bQ",Yoohoo1,585,109,59,0,0,1,0
"0-Pve8VUFaLFwJCnlLVFSrHzqlvYhhr4edDOMltMiRQR6yA",렝꽁이,514,246,227,0,0,0,0
"05HmRT4fxTWjZyRtYVjKjD4ywZxyfSKvRBk7P83OyETEjmo",뇌 녹 사,708,331,306,0,0,1,1
"0ABVdy1Nx9L8Ez1ccLw1F-xYN1wgM45kDzGbEIE-nbL2FwJuRy8m33zT0A",순 둥,521,141,119,0,0,1,1
"0Aq3qLgH9XjVU7leXOUZsezTjyI0iVQHd4WKCdBUYDK1q3Ya",DEL1361028870426,540,166,138,0,0,1,0
"0fUKrNMe-NpjGMpQXfOpSscTKTzfgx90RrJF7tweGGNWmnAO1zcB4kSLXg",긍정 재현,574,189,159,0,0,0,0
"0I_PoyHkU_aL-f9p24mbBpGwI3tzt4Oi7DvcNDNLSwv2YKYfY_2rbH4a6A",Tear my heart,540,85,46,0,0,0,0
"0twd0BSYmUTwPreu50UVgZ78rdimDlRYYMKkZA10O75amcYId_HvorrRwQ",귀여운 유령yn,643,209,159,1,0,0,0
"13t5DqAxe5NTwTIILvArOir3qt1QYh_TA7L3aOMyg2dT_HoD1DBgXmlrRQ",mikasa1,528,106,82,0,0,0,0
