"summonerId","summonerName","leaguePoints","wins","losses","veteran","inactive","freshBlood","hotStreak"
__3v5PFlSfdm0iO8tM2_eE4hCo6LPHzRft0jNmcEixHHyQ,박제율,118,67,39,0,0,1,0
__U8-1k437CXFSVA0WZ0-W9SOfV00UvvsMc49-r7jhLfWYPaFWHpaM7mbw,soduclsdlQMa,290,115,97,1,0,0,0
__ziI-31jy3A_y4hG7ggv4wnEwbGHIbmpOqjcKDTO57cow,별별기걍개겨,22,139,107,0,0,1,1
_-3UIoxig4D9nZBvB9OA9veKCDTgl9-0EtJO8GAY27oCrg8WHQhilFrkNw,새복많이,1,88,82,0,0,1,0
_-QcRDYSP1uqBI-N-JOEOFVDo6TgU3EblgI6D32H7jpe7JU,세카이와잔고쿠다,290,240,225,0,0,1,1
_03CmW-G0ytijaqV1nbFVE2fVE7kz6J7e_rDoNjjKDPyGcFYICvu64nZuA,Gu yun,504,428,408,1,0,0,0
_03oFgMsd6GKOXL8mot44VxpKYhSudGnbffbsOblZw_UCAI,unfair games,270,177,161,0,0,0,0
_07ehbDKURxn7U2mDZqUj1y4irUfUyuueHRJrikuTmn3EKg,늘그니 롤라이프,111,127,73,0,0,0,0
_07ukkCc9fhoJ3vW8fzHCrO5sn2ycLjyr4qCzAve2jcWjL0,퐁 기,118,54,45,0,0,0,1
_0EDNDA_qROQuN2VtamMQfVWaiMliHbXQFyeSorkhTpCjshwwtE7mLuHGA,etude vous,49,216,210,0,0,0,0
_0J1TUDkpclelRI2r-jUPhJ4N_JvmJpelrpLuO-suSnWUw,하루극복,54,337,309,0,0,1,0
_1dbj-9ewiku_oL38U0m5kYQVlU85iBZaJv-PJC-998Tdz8,진 일 이,193,439,385,0,0,0,0
_234R14G0e8LOMadG8SD1TUSBevoc_trQ-CsW65y9SaafGI,춥 화 춥 스,329,183,144,1,0,0,0
_27H8LvXfEBaS-RK6RF1nffz4knjxAryijFiNNbxbJ0_YRN1aAlQtF1XVA,Campanella,1,173,158,0,0,1,0
_2aERdL8jMsa90PGIflBbC7_Xu7oyrHbMhUCBdUrC3Lpnns,Pazuzu,113,53,37,0,0,0,1
_32NlH1nLFcnMAP_xMDFaRw_xogIaAGbXK09PhKqu657lkhpLlOh0IIVXQ,미궁덱시그리고나,116,165,142,0,0,1,0
_3ehw-Tw2-qWGvP2_PhbNMQ2Bz21xOAbhH79jALf_wJ7W5hCz-hrGN5Z6Q,go to london,32,77,71,0,0,0,0
_4J9fJt5eUW2pprxn9sHZz7ZbvCnule-a73eHUCq1nfKxAI,Hello2seo,65,118,110,1,0,0,0
_50Q0FDNeYyoBU77Jk2bI60aqXTsU66fPCTMQeHf0feGnl4,때리지마or포,59,125,112,0,0,0,0
_5z9_0LQ4F02hElvSBXlCXOMwW8aSIS1e156ZHuHnc-difA,kand red,73,50,32,0,0,0,0
_6zEc98t4cyV_XtpSLBw1OlC5DtyQZH2R8c86UsvdiX-Smw,하  딤,0,134,88,0,0,1,0
_7gvFvhy7ILm6EHxJ-PVHcEwTCoB9rfy3w6umVzWds3OjVU,체리맛베리,65,171,143,0,0,0,0
_7kZaHnz3EAxJrkFRIVrSCdjoSKlb3WhMlk3-MKWKEw3FutL,섹시한상혁씨,44,139,111,0,0,0,0
_7Pqhxexu2TqOOE2Mog06rOo-CmELnXo4q6u5DAAU8G3mLY,찌모퀸,132,178,153,0,0,0,1
_85kLyQs_df0SybFsd-i77_XMBtbOh_SQwROcPI5DrKdxYM,김민수는너무흔해,128,67,48,0,0,1,0
_8YbF-926hztMoFHHhLwdag5TX6X0dfP5bcAhXJjiIerS5g,열심히해도안돼,124,44,29,0,0,0,1
_8zgQRy02ZZSw8HIxZmiTdJX8mID9PNVTORlBHHcEfo8cQTeFd-Ln3_Sdw,지잘알,128,174,153,0,0,0,0
_9eKKM2lMSK8B4NxUAheQe6f5xU2_06SMNbJ3tFr8Iq3X9E,"4버프컨트롤러",2,84,63,0,0,1,0
_9pL-bDN8q1c1Ea_oBNPGusgbARVtY4FLSme_mtFIEw9RgbTkKezTJ65tg,DaejeonDongAA,25,38,32,0,0,1,0
_9sumktIOgSlzfozjgaaBzjwG6PA3010ZAEgKvrrgjmQNTo,초급 도구,65,129,105,0,0,0,0
_9XBsgbIG17aDhDmHy7B9MJMrhtoA_fy-OfBGM1hPTsHtOA,유산슭,11,80,70,0,0,0,0
_aEJex-TWHioBjiMHQxYi0bohKadCH7loihyqS6pUmn9C4o,수 승,203,226,221,0,0,0,0
_AhUYCyxtLVRMX3lL2wha-_LBSqyDsAZ7CSBjixwSnGRqNI,애바지,65,135,131,0,0,0,0
_ALchwe4ClYY5Hg-dlPZmzYmMHMmMby0xuvN-HPleK3auzw,준 악,0,177,174,0,0,0,0
_ATqZfJSFIDvt10poO0DFAvqUialXNivlvaJf7ky_sq-QyQ,Refuge,203,672,657,0,0,0,0
_B1q6x_3Si0WobkOxFrPc3s1jwA2MOIlxwie-uCnWjwFvKuj8NH6MMiHZg,mingyuesuoxiang,282,153,140,0,0,0,1
_bDbyKBwdAMMUi6amB56rEVog1Qd0FJdC7iuO6CWqRCsm1Y,소희집사,17,78,57,0,0,1,0
_bKgmc5XPeLHnBxIst_zc-5C1fSpVmzQbM0GKw8mONiyt10B2Al_ouF0YA,zxcvvcxxzx,477,218,200,1,0,0,1
_Bs122wBII7X4m3k4nAPG8o93LTfj7Yspsi71Q5huzv_5u2ND6kayl680A,KUANGBIAO,59,55,60,0,0,0,0
_ByK6TrSr8dnQCh27fLkI-mkfPYJdRmmXg0sElufBOBglQE,"15gg1",0,32,25,0,0,0,0
_CB5yBHcbq8kJSkU0ArG561jvfW_nOPLg0F7HXsedLB_I6iEvevsX_ZSqw,BROKEN EE RENDO,154,147,118,0,0,0,0
_cZqip7BmU3MgKTiDiTxKKuI43gy2kjR0lFTF-UkFHfsCrs,커피 우유 푸딩,0,253,211,0,0,1,0
_DGfFz03SpDT4wyTl28_OfSS_Wx4IFYd8mZme917OZwdEw,볕 집,53,69,43,0,0,0,0
_DMwQTrmDRMgpMYmSXsUpOa2-AQK9LKnqLs0Yp9j0we0lic,퀸소진,74,138,100,0,0,1,1
_DpVqisybRUdfPweKWBlwHoGoB6eG4nAg2PUM3fl2Of5wIU,안녕 나는용찬,25,49,24,0,0,0,0
_dR-HQeLEjuVzsQUAA6UKIG0K-2G72GVRrM6bjA5WQIurvI,기엽다 고양이,1,116,102,0,0,1,1
_eDAJXFu02k4n4l7V4eYDUZCCuAK4u-dJut6KlxnTI_MMYg,iiliilliiIIi,47,124,124,0,0,0,0
_eHZCPBWAzvPk_xhtql1ox_BvL-ZLtrR3OyvyNtgeO98U40,SKT T1 S12K,124,64,37,0,0,0,1
_EJlq8lhvPxL_vn3v-sbgRIBCQN8jZJO47b8fpLqCT6bN_Y,황재현,22,155,136,0,0,0,0
_ENtLQ4v-GrMyJqZ9369xGXV8B10x6KhybPNSIJjMW-4-g,도 국 장,127,177,170,1,0,0,1
_FMzTRYMPsEgyE2OGNGYgOri5Vh1oFPqxhGYhzb0QLko8Xs,들판위의양,208,162,150,0,0,0,1
_FrE2bwbI8kWTpqMMBd1YqB518K9nhUtjSMQl-u977uDLiY,최진현,50,81,70,0,0,0,0
_FSb8bP_G-GC7gwIKit2SWWTradnJvqo4nkVT89IhD519gs,나 김상윤 아니다,24,191,183,0,0,1,0
_g0pcT6QnKti7sBhonfZ0b06ipCle50FqwbuQO-uxcRwXcA,시비걸면 맥문철,1,189,138,0,0,1,1
