,TIER,SUMMONERID,SUMMONERNAME,LEAGUEPOINTS,WINS,LOSSES,VETERAN,INACYIVE,FRESHBLOOD,HOTSTREAK
0,GRANDMASTER,Y7S49aVVJeQvSsfrv18ZpdkSUNfrpFtByfTsrrBMkoWSjUc,GALIOSUPKING,625,304,278,0,0,0,0
1,GRANDMASTER,UYMVPoLxSpvSVpi1183NTZ7G04Hjxsgx-RiOxOgq7J5-RdA6bQoIkbdZYw,5leec,849,680,641,0,0,1,0
2,GRANDMASTER,wlglV28VDFRD2c4DY4xbVO5UoIzhruXF4NZUneQWiFL-bQa96XPbYO4Aig,aurorarr,623,124,62,0,0,1,0
3,GRANDMASTER,joN_1cJMjlDzcGCQ5ruIbabiynYDhOrRv_591Fs2LW252_uV5xV_P8zAqw,하 겜중이잖니,613,408,376,0,0,1,0
4,GRANDMASTER,mIT9UI6ByCyll9MYv52JtMNoQ_RjEQwRLSejoAZaYBoonLg,가글in,931,207,169,0,0,0,0
5,GRANDMASTER,8ooMf4jRPxqqH_HShDMUOH9rCxjjwzfOqMbK4Yix4XV86FptGRNd5IqHrA,Godlou,641,296,244,0,0,1,0
6,GRANDMASTER,qgeaQWmgxIF8vqDwyr0PzdTAvwy_T3eMIP04DCYQfhBTxXU,수라차,722,281,254,0,0,0,0
7,GRANDMASTER,8fe4QRrITsH3Fb2BG4r9CNduBAKEYqZzsTKOFrykzRra3-0,배울게많은06,609,707,661,0,0,1,0
8,GRANDMASTER,rhTSuh9tPQWDjahlI9xpFjFsULyu5GRAIZmeoBkLWFE2KkXGSd2dzRMe8w,wo shi sb,622,260,231,0,0,1,1
9,GRANDMASTER,dv0slyyWu5rdPIeReqmA7nK_ZFNR5dzAHPf5fBW9CplAgZ8nrfSn-rLHuA,초보메이지유저,874,381,340,1,0,0,1
10,GRANDMASTER,sHdf1PslFltkGHtXBqAvzQoGPNL-K4A9vd_yvXHSEGznIHI,자러갈래,633,468,443,0,0,1,1
11,GRANDMASTER,nEau54Rkzdb2ar_faXnd4jT3IBAXH7WT7vFM9fZZQTLSatxI790yC9Nlug,sywnxaiusdnq,918,324,277,0,0,1,1
12,GRANDMASTER,OVsSONJwR-JDxe4p572k8ZRuHnJ1Fgcm61UiLByDfu0qTXVfRJOikzhoqQ,120clock,709,225,197,1,0,0,0
13,GRANDMASTER,WrL3Ct5Wp7bMM65n5k1AS8aOIxZLUF_2KRrmaCr6N9cGvw,김진세,619,179,149,0,0,1,0
14,GRANDMASTER,MSLQPemwYMQKXeicfFitny0kpGmssD6jBowfmMf4uUmsEkY,꿈 희망 용기,611,107,59,0,0,0,0
15,GRANDMASTER,ESN8PjR_rRU2K6ncTZsnLlMUiDwd9poDCc0LNh9ITUB9hRU,해 일,570,291,255,0,0,1,0
16,GRANDMASTER,_03oFgMsd6GKOXL8mot44VxpKYhSudGnbffbsOblZw_UCAI,BLGG,818,308,270,0,0,0,0
17,GRANDMASTER,ZlEe4NiO3xuiGqisciK0GsE79T4D6fhafplHqvExxW9I2nE,ITZY,639,280,251,0,0,1,1
18,GRANDMASTER,FatKkq3kQ3bGLOhDGJWytqXeZqMc5gsD9n-Qq6veXU5OVL0,미니2,617,128,98,0,0,0,0
19,GRANDMASTER,o0onImKrG4obA9JfW1ifSmItdWHX0yJF-47kUHfGL7Yqr5y3qYahDaecdQ,김민교 수제자,848,147,116,0,0,0,0
